Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
travel_time_average,transportation_home_rate,transportation_car_alone_rate,transportation_walk_rate,transportation_carpool_rate,transportation_motorcycle_rate,transportation_bicycle_rate,transportation_public_rate,travel_time_less_than_10_rate,travel_time_10_19_rate,travel_time_20_29_rate,travel_time_30_39_rate,travel_time_40_59_rate,travel_time_60_89_rate
17,0.025495751,0.80878187,0.027620397,0.133144476,0.002124646,0,0,0.36627907,0.244186047,0.137354651,0.164244186,0.075581395,0.009447674
28,0.017836594,0.738780207,0.007479862,0.235903337,0,0,0,0.06268307,0.338605741,0.142355009,0.189220855,0.181605155,0.073227885
24,0.057382785,0.67039888,0.039888034,0.22463261,0.007697691,0,0,0.161098738,0.234595397,0.159613957,0.26874536,0.140311804,0.035634744
37,0.046789447,0.766550523,0.019412643,0.166749627,0,0,0.00049776,0.062140992,0.151436031,0.110182768,0.201044386,0.291383812,0.158746736
29,0.093704246,0.761346999,0.009516837,0.123718887,0,0.003660322,0,0.211631664,0.20355412,0.086429725,0.137318255,0.200323102,0.142164782
35,0.031767956,0.806629834,0.005524862,0.14640884,0,0,0,0.029957204,0.171184023,0.225392297,0.212553495,0.182596291,0.128388017
17,0.022604952,0.857911733,0.045209903,0.074273412,0,0,0,0.363436123,0.356828194,0.107929515,0.030837004,0.074889868,0.066079295
26,0.023082145,0.822810591,0.009504413,0.126272912,0.013577733,0,0.003394433,0.141765115,0.362751911,0.186240445,0.135510771,0.069492703,0.066018068
27,0.015825915,0.770524233,0.011869436,0.168150346,0.003956479,0,0,0.085427136,0.329648241,0.221105528,0.144723618,0.124623116,0.057286432
22,0.016313214,0.786704731,0.024877651,0.171288744,0,0,0.000815661,0.411276949,0.212271973,0.080845771,0.116915423,0.077529022,0.04933665
18,0.038999264,0.843267108,0,0.117733628,0,0,0,0.409647779,0.215926493,0.119448698,0.084226646,0.137825421,0.028330781
16,0.031851852,0.732592593,0.105185185,0.108148148,0.006666667,0,0.015555556,0.30910482,0.33358837,0.201989288,0.094873757,0,0.055853099
27,0.063484708,0.772474513,0.037071362,0.115384615,0,0,0.000926784,0.15437902,0.158337457,0.191489362,0.223156853,0.223156853,0.030677882
19,0.036697248,0.868501529,0,0.082059123,0,0,0.0127421,0.042857143,0.47989418,0.335978836,0.097883598,0.024867725,0.01005291
23,0.010146561,0.937993236,0.006200676,0.045659526,0,0,0,0.117312073,0.177676538,0.362186788,0.271640091,0.043280182,0.01309795
25,0.004197761,0.885027985,0.020755597,0.090018657,0,0,0,0.071194379,0.281030445,0.256908665,0.261592506,0.07587822,0.041451991
22,0.011403747,0.796633179,0.024436601,0.159923975,0.00488732,0,0.002715178,0.090634441,0.305135952,0.336171381,0.167261741,0.068662455,0.025817083
23,0.006974249,0.916309013,0.021459227,0.050429185,0.004828326,0,0,0.172879525,0.385197191,0.279308482,0.056185845,0.033495408,0.032955159
16,0.006321839,0.833333333,0.004022989,0.129885057,0.00862069,0,0.006896552,0.311162522,0.425679584,0.124349335,0.089068826,0.037593985,0
18,0,0.78141136,0.012048193,0.158347676,0,0.029259897,0.018932874,0.203098107,0.524956971,0.12908778,0.034423408,0.060240964,0.025817556
17,0.032552083,0.823567708,0.020833333,0.111979167,0,0,0,0.255047106,0.579407806,0.056527591,0.061911171,0,0.018169583
22,0.021853607,0.898367562,0.004739336,0.072143233,0.000263296,0,0,0.120053836,0.40538358,0.236069987,0.13512786,0.058950202,0.030686406
15,0,0.706536857,0.036161335,0.242002782,0,0,0.002781641,0.164116829,0.554937413,0.186369958,0.079276773,0.015299026,0
28,0.016292653,0.854903166,0.008300031,0.108515217,0,0,0.003688903,0.099375,0.22125,0.2659375,0.221875,0.1175,0.0390625
12,0.014529915,0.870940171,0.069230769,0.033333333,0,0,0,0.366001735,0.496097138,0.055507372,0.038161318,0.044232437,0
16,0.00969697,0.784242424,0.027878788,0.156363636,0,0,0,0.210526316,0.439412485,0.221542228,0.05997552,0.05875153,0.009791922
28,0.038095238,0.70952381,0.026190476,0.19047619,0,0,0.016666667,0.153465347,0.215346535,0.126237624,0.205445545,0.202970297,0.069306931
27,0.087591241,0.704379562,0,0.208029197,0,0,0,0.145,0.397,0.176,0.101,0.01,0.071
27,0.007739938,0.76625387,0.063467492,0.156346749,0,0,0,0.215288612,0.249609984,0.160686427,0.149765991,0.076443058,0.085803432
17,0.025,0.876041667,0.009375,0.082291667,0,0,0,0.397970085,0.253739316,0.144764957,0.099358974,0.032051282,0.064636752
31,0.050512445,0.778916545,0.03806735,0.130307467,0,0,0,0.150346955,0.272166538,0.122590594,0.124903624,0.171935235,0.146491904
22,0.023575639,0.806155861,0.014407335,0.120497708,0.007858546,0,0,0.345405768,0.315224681,0.073105298,0.069081154,0.085848424,0.061032864
35,0.040053405,0.821094793,0.025367156,0.113484646,0,0,0,0.112656467,0.125173853,0.246175243,0.208623088,0.207232267,0.029207232
16,0.032868526,0.876494024,0.00498008,0.078685259,0,0,0,0.374871267,0.449021627,0.025746653,0.071060762,0.042224511,0.01338826
21,0.020044543,0.945063103,0.002969562,0.025241277,0.003711952,0,0.002969562,0.203030303,0.339393939,0.206818182,0.064393939,0.143181818,0.026515152
13,0.030549898,0.818737271,0.026476578,0.11880516,0,0,0.00203666,0.573529412,0.256302521,0.032913165,0.033613445,0.067927171,0.017507003
20,0.014656144,0.856820744,0.034949267,0.085682074,0,0,0,0.374141876,0.197940503,0.177345538,0.100686499,0.094965675,0.02173913
23,0.031395349,0.819767442,0.004651163,0.130232558,0,0,0,0.183673469,0.344537815,0.193277311,0.163265306,0.066026411,0.028811525
28,0.016049383,0.856790123,0.007407407,0.117283951,0.002469136,0,0,0.110414053,0.222082811,0.196988708,0.195734003,0.202007528,0.061480552
