Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population
number_of_years_of_education,diversity,health_insurance_public_rate,health_insurance_none_rate,age_median,age_18_24_rate,age_25_34_rate,age_more_than_85_rate,age_75_84_rate,age_35_44_rate,age_45_54_rate,age_65_74_rate,age_55_64_rate,age_10_14_rate,age_15_17_rate,age_5_9_rate,household_type_family_rate,dropout_16_19_inschool_rate,household_count,average_household_size,housing_unit_count,housing_unit_occupied_count,housing_unit_median_value,housing_unit_median_gross_rent,education_less_than_high_school_rate,education_high_school_graduate_rate,education_college_rate,education_bachelor_rate,education_master_rate,education_professional_school_rate,education_doctoral_rate,race_white_rate,race_black_africa_rate,race_indian_alaska_rate,race_asian_rate,race_islander_rate,race_other_rate,race_two_more_rate,population,population_density
12.52476573,0.122454365,0.479243097,0.075304113,46.1,0.080903649,0.086503186,0.022977409,0.045182468,0.12280363,0.140953852,0.127823904,0.174937247,0.043830855,0.041899981,0.057153891,0.699502488,1,2010,2.57,2598,2010,89500,663,0.188219545,0.381793842,0.290495315,0.086211513,0.042570281,0.010709505,0,0.935701873,0.030893995,0,0,0,0.000965437,0.032438695,5179,40.62326
12.43943662,0.117928237,0.370192308,0.101923077,39,0.079900125,0.11267166,0.028089888,0.063046192,0.116104869,0.155118602,0.077091136,0.11267166,0.072409488,0.040886392,0.076779026,0.665811966,1,1170,2.64,1465,1170,75700,562,0.169953052,0.461502347,0.265258216,0.052112676,0.026760563,0.009389671,0.015023474,0.938202247,0.007490637,0,0.002808989,0,0.040886392,0.010611735,3204,22.13517
11.95099541,0.120271388,0.407131453,0.158062799,40.7,0.070422535,0.117370892,0.010432968,0.053729786,0.101199791,0.144496609,0.110067814,0.143974961,0.059467919,0.068335942,0.06885759,0.703148426,1,667,2.77,841,667,81500,619,0.213629403,0.465543645,0.255742726,0.048238897,0.016845329,0,0,0.937402191,0.015649452,0.017736046,0,0,0.017736046,0.011476265,1917,6.86686
12.58545681,0.519136534,0.55233853,0.132145509,33.6,0.122494432,0.116184113,0.010022272,0.071640683,0.065701559,0.12731997,0.070527097,0.135857461,0.058277654,0.025983667,0.079435783,0.875121951,1,1025,2.63,1129,1025,73500,583,0.205717837,0.354878807,0.244251088,0.151646986,0.02610317,0.002486016,0.014916097,0.398663697,0.56644395,0,0.002227171,0,0,0.032665182,2694,68.74476
12.78921043,0.357780065,0.45387815,0.158796183,42.4,0.039393198,0.119647663,0.010031808,0.054807928,0.101296795,0.142647419,0.119402985,0.137019819,0.066063127,0.047222902,0.08514803,0.724404762,1,1680,2.43,1918,1680,95400,706,0.158628081,0.37799214,0.282600929,0.124330118,0.048946052,0.001071811,0.006430868,0.774161977,0.20675312,0.003425495,0.010276486,0,0.005382921,0,4087,13.25147
12.62235067,0.399469223,0.389160554,0.177261614,38.7,0.086389568,0.093317033,0.008149959,0.057049715,0.128361858,0.170741646,0.060309698,0.116544417,0.096984515,0.057864711,0.058679707,0.768878719,0.930107527,874,2.81,1151,874,52100,608,0.184328838,0.40719332,0.218368658,0.140655106,0.028259473,0.001284522,0.019910083,0.745721271,0.207823961,0,0,0,0.032192339,0.014262429,2454,5.964572
13.21880391,0.408270935,0.288081805,0.148977433,32.4,0.289083113,0.099604222,0.031662269,0.051616095,0.097130607,0.119228232,0.080310026,0.093997361,0.035455145,0.02951847,0.040072559,0.533390047,0.993865031,2351,2.18,2710,2351,133400,536,0.182863715,0.286658999,0.283208741,0.124496837,0.073030477,0.020989074,0.028752156,0.727242744,0.250164908,0,0.000329815,0,0.01401715,0.008245383,6064,253.374
12.74283113,0.47442853,0.442022668,0.164777681,38.6,0.126416739,0.097646033,0.006684103,0.058994478,0.155478059,0.10374891,0.076721883,0.13920372,0.066550421,0.04097646,0.081952921,0.651734104,0.920754717,1384,2.49,1570,1384,66600,621,0.148839326,0.397815203,0.267637688,0.155666818,0.030040965,0,0,0.663469922,0.289741354,0,0,0,0.036326649,0.010462075,3441,75.81599
12.08845375,0.212039607,0.529624277,0.146917148,37.6,0.109875445,0.133451957,0.022241993,0.056939502,0.096975089,0.143016014,0.098754448,0.107428826,0.053158363,0.03158363,0.053825623,0.597664544,1,1884,2.19,2113,1884,69500,539,0.23193788,0.375759622,0.294058069,0.080688724,0.017555706,0,0,0.885676157,0.044706406,0.014902135,0.016681495,0,0.006450178,0.03158363,4496,1334.791
12.3228441,0.058456469,0.421923475,0.177697346,46.1,0.074716592,0.095671591,0.018550326,0.049124012,0.109412573,0.168498798,0.11971831,0.154070766,0.064067331,0.063036757,0.037787702,0.823371989,0.974074074,2242,2.59,2780,2242,91000,625,0.18544319,0.409560413,0.31707903,0.067979822,0.00696613,0.00864761,0.004323805,0.970113363,0.001202336,0.016660941,0,0,0,0.01202336,5822,31.40151
12.77959732,0.137016305,0.444132397,0.176128385,49.5,0.119358074,0.086058175,0.013440321,0.094082247,0.114543631,0.155867603,0.10892678,0.174322969,0.026278837,0.026479438,0.056970913,0.764649833,1,2099,2.37,2198,2099,129300,689,0.155704698,0.304697987,0.415838926,0.097181208,0.019060403,0,0.007516779,0.927983952,0.014042126,0.013039117,0,0,0.007422267,0.037512538,4985,192.0231
12.71374167,0.088105287,0.446264744,0.125163827,39.9,0.065967671,0.133027523,0.008519004,0.049366536,0.113368283,0.153778943,0.111839231,0.118392311,0.088685015,0.03713412,0.05679336,0.652474721,1,1879,2.41,2180,1879,106500,523,0.150428435,0.423040305,0.268168835,0.096477309,0.054585846,0.003808315,0.003490955,0.954565312,0.012887724,0.014853648,0,0,0,0.017693316,4578,84.23779
13.02453621,0.116010658,0.320666925,0.142787902,34.7,0.050086688,0.148911578,0.01560393,0.030437295,0.154112888,0.122327105,0.081101907,0.091311886,0.083895203,0.061067232,0.091408207,0.79950967,0.932604736,3671,2.81,3885,3671,129200,660,0.105475763,0.398563734,0.332734889,0.112657092,0.041591861,0.004637941,0.004338719,0.939703333,0.012906954,0.001252167,0.008957812,0,0.020516278,0.016663456,10382,298.5144
13.55732616,0.17619444,0.304090745,0.096898757,33.5,0.107276457,0.101725594,0.003016773,0.035959937,0.144805116,0.157716906,0.047785688,0.09207192,0.101604923,0.043803548,0.082418245,0.784,1,3000,2.76,3258,3000,117800,823,0.08009106,0.338576159,0.364859272,0.137831126,0.037044702,0.028145695,0.013451987,0.906118016,0.007119585,0.009774345,0.041269458,0,0.006274888,0.029443707,8287,327.789
13.29318855,0.225658497,0.326315789,0.09610984,41.2,0.097806625,0.121530886,0.025067144,0.049910474,0.116606983,0.121978514,0.098925694,0.146150403,0.056401074,0.051029543,0.053491495,0.755174453,1,1691,2.58,1848,1691,131000,642,0.094109905,0.337940112,0.366897006,0.157946693,0.027969727,0.00822639,0.006910168,0.877797672,0.013876455,0.042076992,0.021038496,0,0.008728738,0.036481647,4468,634.7672
12.71152416,0.515132762,0.413636364,0.182296651,32.5,0.080755608,0.166469894,0.019126328,0.039433294,0.14498229,0.095395514,0.071310508,0.098465171,0.080047226,0.036127509,0.066115702,0.577281192,1,1611,2.57,1854,1611,87800,726,0.131598513,0.419702602,0.322304833,0.095910781,0.021561338,0.008921933,0,0.60377804,0.345218418,0.004014168,0,0,0.020070838,0.026918536,4235,3057.46
11.90344828,0.420010669,0.619071645,0.154894046,36.6,0.053453169,0.079470199,0.023651845,0.070009461,0.110690634,0.122516556,0.094134342,0.116840114,0.073320719,0.035477767,0.129139073,0.556991774,0.940677966,851,2.33,941,851,46300,548,0.247509579,0.396934866,0.275095785,0.074329502,0.003065134,0,0.003065134,0.26064333,0.715231788,0,0,0,0.001892148,0.022232734,2114,1920.165
12.80166541,0.507363517,0.469882729,0.142857143,39.5,0.079798515,0.145015907,0.022534464,0.062831389,0.112672322,0.160392365,0.051696713,0.145281018,0.051961824,0.029427359,0.063891835,0.570716511,0.788617886,1605,2.34,2012,1605,113900,733,0.14004542,0.372823618,0.33989402,0.104087812,0.040878123,0,0.002271007,0.495227996,0.497348887,0.002651113,0,0,0,0.004772004,3772,1658.382
12.90546999,0.176807715,0.294944842,0.140865559,39.9,0.083263145,0.122367946,0.023222236,0.025989652,0.125255685,0.15088437,0.097461196,0.134520515,0.066177355,0.048369631,0.080736373,0.729470096,1,3227,2.54,3530,3227,126600,711,0.113471411,0.431403788,0.304655691,0.106390512,0.024075058,0.015755001,0.00424854,0.903982674,0.07664541,0.004331609,0,0,0.00830225,0.006738058,8311,32.56879
11.80761782,0.502951432,0.514492754,0.244444444,28.6,0.177020958,0.181137725,0,0.021332335,0.122005988,0.140718563,0.05501497,0.059505988,0.041167665,0.041541916,0.077095808,0.638509317,0.862745098,805,2.55,971,805,49100,665,0.262750161,0.428663654,0.239509361,0.032924467,0.025823112,0.003227889,0.007101356,0.617140719,0.339446108,0.005613772,0.000748503,0,0.029565868,0.00748503,2672,1113.836
12.87190006,0.155898012,0.355995517,0.183538787,40.9,0.085792554,0.102477898,0.014942099,0.030506786,0.119163242,0.160004981,0.102851451,0.137840867,0.067986552,0.045448886,0.06064002,0.723368279,0.979695431,2957,2.72,3369,2957,88200,567,0.121573746,0.408539996,0.314189819,0.10721611,0.045123998,0.00335633,0,0.917071349,0.050927655,0.006350392,0.005105217,0,0,0.020545387,8031,23.76003
12.73270751,0.517350678,0.488049096,0.19121447,35.2,0.083656331,0.147932817,0.045542636,0.020671835,0.131782946,0.131136951,0.082364341,0.094315245,0.043927649,0.025193798,0.087855297,0.577441077,0.901408451,1188,2.6,1432,1188,81400,694,0.152173913,0.364130435,0.373517787,0.04743083,0.053359684,0.009387352,0,0.571382429,0.394056848,0,0,0,0.005167959,0.029392765,3096,3810.978
11.67937701,0.598721135,0.588617886,0.216260163,40.7,0.08567153,0.138047138,0.02506547,0.046389824,0.117471006,0.122708567,0.097643098,0.149270483,0.077066966,0.042648709,0.028058361,0.595918367,1,980,2.51,1160,980,38800,723,0.283029001,0.425349087,0.205155747,0.062835661,0.02094522,0.002685285,0,0.481481481,0.400299289,0.016460905,0,0,0.00748223,0.094276094,2673,1166.413
11.68593239,0.508915765,0.531386861,0.164963504,43.7,0.096350365,0.05620438,0.013868613,0.060583942,0.135766423,0.111678832,0.167883212,0.123357664,0.050364964,0.037956204,0.090510949,0.557093426,1,578,2.37,767,578,52000,430,0.271537623,0.45474373,0.177753544,0.079607415,0.016357688,0,0,0.458394161,0.529927007,0.011678832,0,0,0,0,1370,7.680783
11.83191489,0.233127761,0.473285199,0.124548736,41,0.07400722,0.098555957,0,0.055956679,0.137545126,0.114079422,0.138267148,0.134296029,0.060649819,0.032490975,0.079061372,0.781529295,1,1007,2.75,1064,1007,118400,628,0.228191489,0.492021277,0.207978723,0.05106383,0.020744681,0,0,0.867148014,0.12166065,0,0,0,0,0.011191336,2770,38.33072
12.3251714,0.020298723,0.376737381,0.17190929,45.3,0.060716898,0.093635699,0.030724214,0.063643014,0.144111192,0.190929042,0.095830285,0.128017557,0.043160205,0.070958303,0.022677396,0.707395498,0.967391304,622,2.2,783,622,62000,233,0.212536729,0.468168462,0.136141038,0.136141038,0.021547502,0.012732615,0.012732615,0.989758595,0,0.001463058,0,0,0,0.008778347,1367,6.929102
