Politics,Politics,Politics,Politics,Politics,Politics,Politics,Politics,Politics,Politics,Politics
incentive_count_residential,incentive_count_nonresidential,incentive_residential_state_level,incentive_nonresidential_state_level,net_metering,feedin_tariff,property_tax,sales_tax,rebate,voting_2016_dem_percentage,voting_2016_gop_percentage
8,16,2,4,15,0,0,0,0,0.292050944,0.67003367
8,16,2,4,15,0,0,0,0,0.292050944,0.67003367
8,16,2,4,15,0,0,0,0,0.292050944,0.67003367
8,16,2,4,15,0,0,0,0,0.292050944,0.67003367
8,16,2,4,15,0,0,0,0,0.292050944,0.67003367
8,16,2,4,15,0,0,0,0,0.292050944,0.67003367
8,16,2,4,15,0,0,0,0,0.310818771,0.640486943
8,16,2,4,15,0,0,0,0,0.310818771,0.640486943
8,16,2,4,15,0,0,0,0,0.310818771,0.640486943
8,16,2,4,15,0,0,0,0,0.310818771,0.640486943
8,16,2,4,15,0,0,0,0,0.310818771,0.640486943
8,16,2,4,15,0,0,0,0,0.334392774,0.632151221
8,16,2,4,15,0,0,0,0,0.334392774,0.632151221
8,16,2,4,15,0,0,0,0,0.334392774,0.632151221
8,16,2,4,15,0,0,0,0,0.334392774,0.632151221
8,16,2,4,15,0,0,0,0,0.334392774,0.632151221
8,16,2,4,15,0,0,0,0,0.334392774,0.632151221
8,16,2,4,15,0,0,0,0,0.215125746,0.738375249
8,16,2,4,15,0,0,0,0,0.215125746,0.738375249
8,16,2,4,15,0,0,0,0,0.225724695,0.714082053
8,16,2,4,15,0,0,0,0,0.225724695,0.714082053
8,16,2,4,15,0,0,0,0,0.225724695,0.714082053
8,16,2,4,15,0,0,0,0,0.218395203,0.731853553
8,16,2,4,15,0,0,0,0,0.218395203,0.731853553
8,16,2,4,15,0,0,0,0,0.218395203,0.731853553
8,16,2,4,15,0,0,0,0,0.218395203,0.731853553
8,16,2,4,15,0,0,0,0,0.218395203,0.731853553
8,16,2,4,15,0,0,0,0,0.218395203,0.731853553
8,16,2,4,15,0,0,0,0,0.338777593,0.618093658
8,16,2,4,15,0,0,0,0,0.338777593,0.618093658
8,16,2,4,15,0,0,0,0,0.338777593,0.618093658
8,16,2,4,15,0,0,0,0,0.338777593,0.618093658
8,16,2,4,15,0,0,0,0,0.338777593,0.618093658
8,16,2,4,15,0,0,0,0,0.338777593,0.618093658
8,16,2,4,15,0,0,0,0,0.187349236,0.770570893
8,16,2,4,15,0,0,0,0,0.187349236,0.770570893
8,16,2,4,15,0,0,0,0,0.237989816,0.726367058
8,16,2,4,15,0,0,0,0,0.237989816,0.726367058
8,16,2,4,15,0,0,0,0,0.237989816,0.726367058
8,16,2,4,15,0,0,0,0,0.237989816,0.726367058
8,16,2,4,15,0,0,0,0,0.223624971,0.72842887
8,16,2,4,15,0,0,0,0,0.223624971,0.72842887
8,16,2,4,15,0,0,0,0,0.223624971,0.72842887
8,16,2,4,15,0,0,0,0,0.223624971,0.72842887
8,16,2,4,15,0,0,0,0,0.223624971,0.72842887
8,16,2,4,15,0,0,0,0,0.223624971,0.72842887
8,16,2,4,15,0,0,0,0,0.223624971,0.72842887
8,16,2,4,15,0,0,0,0,0.223624971,0.72842887
8,16,2,4,15,0,0,0,0,0.223624971,0.72842887
8,16,2,4,15,0,0,0,0,0.223624971,0.72842887
8,16,2,4,15,0,0,0,0,0.291324989,0.68083729
8,16,2,4,15,0,0,0,0,0.291324989,0.68083729
8,16,2,4,15,0,0,0,0,0.291324989,0.68083729
8,16,2,4,15,0,0,0,0,0.312875375,0.635604354
8,16,2,4,15,0,0,0,0,0.312875375,0.635604354
