Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment
occupation_construction_rate,occupation_public_rate,occupation_information_rate,occupation_finance_rate,occupation_education_rate,occupation_administrative_rate,occupation_manufacturing_rate,occupation_wholesale_rate,occupation_retail_rate,occupation_transportation_rate,occupation_arts_rate,occupation_agriculture_rate,occupancy_vacant_rate,occupancy_owner_rate,mortgage_with_rate,employ_rate,poverty_family_below_poverty_level_rate,poverty_family_below_poverty_level,poverty_family_count,unemployed,average_household_income,gini_index,per_capita_income
0.067732832,0.062088429,0.015992474,0.027281279,0.234242709,0.040451552,0.334901223,0.010348071,0.046095955,0.056444026,0.059266228,0,0.305645685,0.334198572,0.776699029,0.924347826,0.116336634,94,808,87,51337.1028,0.3927,19542
0.049660441,0.01655348,0.021222411,0.015704584,0.148556876,0.037351443,0.223259762,0.033106961,0.213921902,0.064516129,0.028013582,0.109083192,0.113434952,0.573200993,0.546072975,0.865540044,0.166954519,290,1737,366,54507.35706,0.4926,21679
0.025052192,0.028531663,0.037578288,0.051496173,0.185107864,0.068893528,0.32289492,0,0.104384134,0.04453723,0.057063326,0,0.155599604,0.306739346,0.442649435,0.729071537,0.400377715,424,1059,534,34617.89906,0.4678,13561
0.0453125,0.041015625,0.00546875,0.041796875,0.30390625,0.0828125,0.2,0.033984375,0.06171875,0.033984375,0.10703125,0.017578125,0.131056117,0.500871384,0.59151009,0.90459364,0.20238772,356,1759,270,53169.55475,0.4703,20768
0.058252427,0.089805825,0,0.046925566,0.222491909,0.05420712,0.105987055,0.01618123,0.196601942,0.062297735,0.03802589,0.09789644,0.182316655,0.69979438,0.382957884,0.958882855,0.095238095,84,882,53,65880.72087,0.4921,22841
0.065286624,0.130573248,0,0.017515924,0.348726115,0.049363057,0.109872611,0.017515924,0.097133758,0.054140127,0.039808917,0.039808917,0.191967871,0.487550201,0.291598023,0.825229961,0.312297735,193,618,133,36553.47913,0.5761,15480
0.112426036,0.091293322,0,0.021978022,0.207100592,0.059171598,0.04057481,0.023668639,0.087912088,0.007607777,0.208791209,0.131868132,0.124219292,0.529493407,0.44429882,0.915634675,0.314136126,240,764,109,42270.68146,0.4689,19381
0.049861496,0.092797784,0,0,0.243767313,0.024930748,0.231301939,0.009695291,0.171745152,0.094182825,0,0.047091413,0.164416203,0.525814138,0.258308157,0.788209607,0.38121547,276,724,194,40013.21293,0.5809,16889
0.145197319,0.029784066,0.005956813,0.040208488,0.260610573,0.052866716,0.005956813,0.017870439,0.081161579,0.073715562,0.13179449,0.058823529,0.422273782,0.46287703,0.422723475,0.959285714,0.100628931,96,954,57,50763.38688,0.4221,23585
0.137055838,0.046954315,0.002538071,0.031725888,0.232233503,0.054568528,0.100253807,0.010152284,0.017766497,0.026649746,0.044416244,0.237309645,0.286287089,0.565356856,0.327659574,0.942583732,0.167464115,105,627,48,42388.8764,0.425,17946
0.093687708,0.034551495,0,0.00730897,0.150166113,0.067109635,0.077076412,0.025249169,0.066445183,0.064451827,0.117607973,0.240531561,0.211709357,0.625718766,0.405179616,0.962891875,0.134328358,135,1005,58,42921.9496,0.4447,17852
0.050929112,0.02752925,0.02752925,0.010323469,0.168616655,0.083275981,0.37577426,0.011699931,0.096352374,0.023399862,0.088093599,0,0.196261682,0.574766355,0.615176152,0.882746051,0.177311725,186,1049,193,36858.39793,0.3798,15621
0.02044293,0.04088586,0.022714367,0.023850085,0.238500852,0.123793299,0.180579216,0.007950028,0.126632595,0.056785917,0.069278819,0.03407155,0.20649652,0.709512761,0.566383257,0.889843355,0.135690789,165,1216,218,48377.25146,0.4209,18615
0.102096011,0.089925625,0.003380663,0.027721433,0.251521298,0.032454361,0.162271805,0.015551048,0.114942529,0.017579446,0.116294794,0.008789723,0.406644701,0.493684789,0.406006674,0.907918969,0.069624573,102,1465,150,42685.28459,0.3819,20131
0.104734577,0.030129125,0.035389766,0.054997609,0.132950741,0.087517934,0.116212339,0.032042085,0.100430416,0.084170253,0.098517456,0.026781444,0.226327945,0.644726713,0.434029851,0.940197842,0.071834993,101,1406,133,59858.95522,0.4594,24321
0.119852941,0.049264706,0.019852941,0.046323529,0.241176471,0.075,0.107352941,0.043382353,0.081617647,0.052941176,0.033823529,0.064705882,0.201365188,0.584300341,0.426401869,0.942480942,0.109114249,85,779,83,51270.94017,0.4008,20594
0.14324693,0.040927694,0.009549795,0.039563438,0.165075034,0.065484311,0.175989086,0.002728513,0.141882674,0.043656207,0.030013643,0.076398363,0.206896552,0.645659929,0.445672192,0.893902439,0.085287846,40,469,87,54209.89505,0.455,19843
0.026574803,0.00492126,0.007874016,0.003937008,0.43503937,0.054133858,0.093503937,0.013779528,0.093503937,0.002952756,0.176181102,0.024606299,0.092116918,0.495128432,0.411449016,0.888888889,0.376811594,338,897,127,41299.12195,0.5451,15765
0.082832331,0.068804275,0,0.068136273,0.228456914,0.066800267,0.146960588,0.01002004,0.15497662,0.012692051,0.052772211,0.072144289,0.124087591,0.700729927,0.365327381,0.938557994,0.108463435,132,1217,98,51093.9881,0.4172,20637
0.059980334,0.050147493,0.010816126,0.024582104,0.162241888,0.086529007,0.164208456,0.018682399,0.174041298,0.017699115,0.029498525,0.146509341,0.240660295,0.530842745,0.554828151,0.907225691,0.166666667,112,672,104,48435.81236,0.4135,17461
0.034077079,0.112778905,0,0.027180527,0.368356998,0.022718053,0.103853955,0.023123732,0.120486815,0.013387424,0.096146045,0.027180527,0.132472325,0.434317343,0.51826678,0.776622558,0.214513557,269,1254,709,42773.07529,0.5301,17560
0.016837482,0.03147877,0.005124451,0.064421669,0.330161054,0.050512445,0.11420205,0.012445095,0.188140556,0.022693997,0.088579795,0.040995608,0.118471338,0.478980892,0.457446809,0.878456592,0.238359202,215,902,189,36286.92197,0.4238,14950
